offerdate,sold_premium,offered_premium,purchase_price,purchase_date,item age,pricing_point,predictedconversionrate,plan_flag,plan_count,plansactive_lastyear_count,planscancelled_lastyear_count,claims_count,claim_amount,price_diff,IsModel,sale_flag,base_rate,manufacturerbrandname_enc,itemcategoryname_enc,itemsupercategorycode_enc
31/03/2023,,39.84,1099,13/03/2023,18,ASIS FEE,1,0,0,0,0,,,0,No,0,39.84,89,25,2
22/03/2023,,53.04,473,17/03/2023,5,ASIS FEE,1,0,,,,0,0,0,No,0,53.04,7,37,4
15/03/2023,,48.12,190.65,30/01/2023,44,@22%,0.13,0,0,0,0,0,0,0.005012531,Yes,0,47.88,56,12,4
13/04/2023,,47.76,300,07/04/2023,6,@22%,0.1,0,0,0,0,0,0,0.121126761,Yes,0,42.6,7,16,12
24/03/2023,,43.44,369,21/03/2023,3,@23%,0.14,0,0,0,0,0,0,-0.180995475,Yes,0,53.04,50,37,4
06/03/2023,,71.4,549,04/03/2023,2,ASIS FEE,1,0,0,0,0,0,0,0,No,0,71.4,74,34,3
29/03/2023,,58.44,299.99,18/02/2023,39,ASIS FEE,1,0,0,0,0,0,0,0,No,0,58.44,56,37,4
24/04/2023,,48.12,221.83,18/04/2023,6,@23%,0.13,0,0,0,0,0,0,-0.116740088,Yes,0,54.48,7,37,4
06/04/2023,,57.24,329,30/03/2023,7,ASIS FEE,1,0,0,0,0,0,0,0,No,0,57.24,74,34,3
05/03/2023,48.12,48.12,265.77,05/03/2023,0,@23%,0.04,0,0,0,0,0,0,0.16909621,Yes,1,41.16,7,11,1
02/03/2023,45.12,45.12,609.5,02/03/2023,0,ASIS FEE,1,0,0,1,1,,,0,No,1,45.12,50,12,4
29/03/2023,,47.76,300,10/03/2023,19,@22%,0.13,0,0,0,0,0,0,-0.054631829,Yes,0,50.52,56,16,12
30/03/2023,,47.76,200,30/03/2023,0,@23%,0.15,0,0,0,0,0,0,0.213414634,Yes,0,39.36,57,14,12
20/03/2023,,69.72,409,16/12/2022,94,@22%,0.11,0,0,0,0,0,0,0.21802935,Yes,0,57.24,74,34,3
25/03/2023,,69.72,200,28/03/2023,-3,@22%,0.2,0,0,0,0,0,0,0.096226415,Yes,0,63.6,57,37,4
27/03/2023,48.12,48.12,473,25/03/2023,2,@22%,0.05,0,0,0,0,0,0,0.066489362,Yes,1,45.12,0,11,1
22/03/2023,,69.72,450,23/03/2023,-1,@22%,0.22,0,0,0,0,0,0,0.030141844,Yes,0,67.68,62,37,4
06/03/2023,,32.28,300,20/02/2023,14,@22%,0.2,0,0,0,0,0,0,-0.069204152,Yes,0,34.68,0,9,2
10/04/2023,,48.12,700,03/04/2023,7,@23%,0.08,0,0,0,0,0,0,0.066489362,Yes,0,45.12,0,11,1
13/03/2023,,62.28,239,07/03/2023,6,@23%,0.05,0,0,0,0,,,0.088050314,Yes,0,57.24,74,34,3
01/03/2023,47.28,47.28,449,19/03/2021,712,@23%,0.71,1,2,6,4,0,0,0.109859155,Yes,1,42.6,12,11,1
16/03/2023,,48.12,359.99,16/02/2023,28,@23%,0.12,0,0,0,0,0,0,-0.065268065,Yes,0,51.48,62,11,1
01/04/2023,,69.72,300,31/03/2023,1,@22%,0.12,0,0,0,0,0,0,0.19301848,Yes,0,58.44,56,37,4
01/03/2023,,69.72,600,01/12/2022,90,@22%,0.15,0,0,0,0,0,0,0.249462366,Yes,0,55.8,74,37,4
22/03/2023,,56.64,1099,21/03/2023,1,@23%,0.12,0,0,0,0,0,0,-0.14801444,Yes,0,66.48,7,16,12
08/04/2023,,44.28,289.73,07/04/2023,1,@22%,0.1,0,0,0,0,0,0,0.145962733,Yes,0,38.64,7,14,12
21/03/2023,,34.68,239.99,17/03/2023,4,ASIS FEE,1,0,0,0,0,0,0,0,No,0,34.68,34,9,2
22/03/2023,100.2,100.2,599,22/07/2022,243,@22%,0.24,0,0,0,0,0,0,0.298600311,Yes,1,77.16,107,34,3
07/03/2023,,45.12,300,15/01/2023,51,ASIS FEE,1,0,0,0,0,0,0,0,No,0,45.12,129,16,12
30/03/2023,,53.4,749,27/03/2023,3,@23%,0.51,1,2,3,1,1,80.92,0.183510638,Yes,0,45.12,129,8,2
11/04/2023,,45.12,300,06/04/2023,5,ASIS FEE,1,0,0,0,0,0,0,0,No,0,45.12,129,16,12
14/03/2023,,69.72,587.78,14/03/2023,0,@22%,0.71,1,5,10,5,1,85.03,0.048736462,Yes,0,66.48,7,16,12
14/03/2023,53.4,53.4,300,14/03/2023,0,@23%,0.12,0,0,0,0,0,0,0.161879896,Yes,1,45.96,62,16,12
20/04/2023,,69.72,420,19/04/2023,1,@23%,0.1,0,0,0,0,0,0,0.094161959,Yes,0,63.72,7,37,4
29/03/2023,,34.68,250,15/11/2022,134,@23%,0.2,0,0,0,0,0,0,0.133333333,Yes,0,30.6,7,15,12
28/02/2023,48.12,48.12,230,23/02/2023,5,@23%,0.49,1,5,11,4,1,60,-0.15932914,Yes,1,57.24,74,34,3
20/04/2023,,69.72,1138.42,14/04/2023,6,@22%,0.1,0,0,0,0,0,0,0.19301848,Yes,0,58.44,73,8,2
12/03/2023,,69.48,258.97,11/03/2023,1,@22%,0.1,0,0,0,0,0,0,0.09039548,Yes,0,63.72,7,37,4
30/03/2023,,86.4,599,23/03/2023,7,@22%,0.27,1,1,1,0,,,0.299638989,Yes,0,66.48,56,37,4
01/04/2023,,48.12,739,28/02/2023,32,@23%,0.17,0,0,0,0,0,0,0.098630137,Yes,0,43.8,21,14,12
20/04/2023,,112.56,900,04/04/2023,16,@23%,0.06,0,0,0,0,0,0,0.299168975,Yes,0,86.64,74,34,3
09/03/2023,,47.76,369,06/03/2023,3,@23%,0.09,0,0,0,0,0,0,-0.026894866,Yes,0,49.08,7,16,12
28/03/2023,,51.24,379,23/02/2023,33,@23%,0.08,0,0,0,0,0,0,0.135638298,Yes,0,45.12,41,8,2
08/03/2023,,24.12,239.99,25/11/2022,103,@23%,0.18,0,0,0,0,0,0,-0.090497738,Yes,0,26.52,129,19,2
06/03/2023,,45,349.99,21/11/2022,105,@23%,0.11,0,0,0,0,0,0,0.254180602,Yes,0,35.88,0,35,14
19/04/2023,,69.72,419,29/03/2023,21,@23%,0.18,0,0,0,0,0,0,0.010434783,Yes,0,69,57,36,4
24/04/2023,,57.24,391.14,22/03/2023,33,ASIS FEE,1,0,0,0,0,0,0,0,No,0,57.24,74,34,3
29/03/2023,,34.68,130,22/03/2023,7,ASIS FEE,1,0,0,0,0,0,0,0,No,0,34.68,86,32,13
05/04/2023,,48.24,406.7,03/04/2023,2,@22%,0.08,0,0,0,0,0,0,0.069148936,Yes,0,45.12,7,8,2
05/03/2023,,47.76,700,06/11/2022,119,@22%,0.17,0,0,0,0,0,0,0.140401146,Yes,0,41.88,57,8,2
12/04/2023,,112.56,989,11/04/2023,1,@22%,0.08,0,0,0,0,0,0,0.299168975,Yes,0,86.64,74,34,3
06/04/2023,,45.12,799.99,06/04/2023,0,ASIS FEE,1,0,0,1,1,,,0,No,0,45.12,129,8,2
05/04/2023,32.16,32.16,665,24/03/2023,12,@23%,0.23,0,0,0,0,0,0,-0.109634551,Yes,1,36.12,37,9,2
02/03/2023,,51.48,359.99,16/02/2023,14,ASIS FEE,1,0,0,0,0,0,0,0,No,0,51.48,62,11,1
07/04/2023,,48.12,200,04/05/2022,338,@22%,0.34,0,0,0,0,0,0,-0.054245283,Yes,0,50.88,67,24,2
20/03/2023,33.12,33.12,300,08/02/2022,405,ASIS FEE,1,0,0,0,0,0,0,0,No,1,33.12,56,9,2
21/03/2023,48.12,48.12,599,17/03/2023,4,@23%,0.24,0,0,0,0,0,0,-0.065268065,Yes,1,51.48,62,16,12
16/03/2023,,59.64,200,26/03/2023,-10,ASIS FEE,1,0,0,0,0,0,0,0,No,0,59.64,62,37,4
06/04/2023,50.76,50.76,300,27/02/2023,38,@22%,0.45,1,2,3,1,,,0.155737705,Yes,1,43.92,7,16,12
13/03/2023,,53.4,499,13/08/2022,212,@22%,0.23,0,0,0,0,0,0,0.096059113,Yes,0,48.72,57,12,4
31/03/2023,50.16,50.16,719,31/03/2023,0,@22%,0.26,1,1,1,0,1,231.52,0.298136646,Yes,1,38.64,12,24,2
15/03/2023,,52.8,259.99,13/03/2023,2,@22%,0.12,0,0,0,0,0,0,-0.013452915,Yes,0,53.52,16,34,3
02/03/2023,,69.72,226.72,28/10/2022,125,@22%,0.2,0,0,0,0,0,0,0.19301848,Yes,0,58.44,56,37,4
21/03/2023,54,54,255.92,21/03/2023,0,@23%,0.27,0,0,1,1,,,-0.075975359,Yes,1,58.44,56,37,4
06/03/2023,60.84,60.84,237.95,06/03/2023,0,@22%,0.75,1,4,4,0,0,0,-0.093023256,Yes,1,67.08,62,37,4
01/04/2023,,34.68,490,31/03/2023,1,@22%,0.16,0,0,0,0,0,0,-0.052459016,Yes,0,36.6,57,15,12
11/03/2023,,53.4,340.7,11/03/2023,0,@22%,0.08,0,0,0,0,0,0,0.215846995,Yes,0,43.92,7,16,12
21/03/2023,,72,1200,21/03/2023,0,@22%,0.09,0,0,0,0,0,0,0.176470588,Yes,0,61.2,8,8,2
04/04/2023,,81,599.99,02/03/2023,33,ASIS FEE,1,0,0,0,0,0,0,0,No,0,81,7,36,4
27/03/2023,,37.08,120,20/03/2023,7,ASIS FEE,1,0,0,0,0,0,0,0,No,0,37.08,74,4,0
27/03/2023,,48.24,300,27/03/2023,0,@22%,0.11,0,0,0,0,0,0,0.288461538,Yes,0,37.44,101,8,2
28/03/2023,,39.36,255,27/03/2023,1,@23%,0.08,0,0,0,0,0,0,0.115646259,Yes,0,35.28,16,8,2
27/03/2023,,48.24,139.99,18/03/2023,9,@22%,0.13,0,0,0,0,,,0.077747989,Yes,0,44.76,129,9,2
10/04/2023,,34.92,189.99,27/03/2023,14,@22%,0.19,0,0,0,0,0,0,0.006920415,Yes,0,34.68,72,15,12
03/03/2023,,41.4,133,16/12/2022,77,@22%,0.11,0,0,0,0,0,0,0.296992481,Yes,0,31.92,7,25,2
24/04/2023,,34.68,559.99,21/04/2023,3,@22%,0.16,0,0,0,0,0,0,0,Yes,0,34.68,0,9,2
20/04/2023,,34.92,319,19/04/2023,1,@22%,0.13,0,0,0,0,0,0,-0.123493976,Yes,0,39.84,7,11,1
23/04/2023,,69.72,399,18/04/2023,5,@23%,0.11,0,0,0,0,0,0,0.094161959,Yes,0,63.72,7,37,4
03/03/2023,62.28,62.28,269,20/02/2023,11,@22%,0.12,0,0,0,0,0,0,-0.02259887,Yes,1,63.72,7,37,4
23/03/2023,,33.24,190,16/03/2023,7,@23%,0.03,0,0,0,0,0,0,-0.041522491,Yes,0,34.68,86,32,13
12/04/2023,34.44,34.44,300,01/08/2022,254,@22%,0.49,1,1,1,0,1,85.03,0.298642534,Yes,1,26.52,0,19,2
16/04/2023,,69.72,229,16/04/2023,0,@23%,0.26,0,0,0,0,,,0.169014085,Yes,0,59.64,62,37,4
09/03/2023,47.76,47.76,300,01/02/2023,36,@22%,0.28,1,1,2,1,1,85.03,0.198795181,Yes,1,39.84,7,11,1
12/03/2023,,32.4,300,15/11/2022,117,@23%,0.21,0,0,0,0,0,0,0.003717472,Yes,0,32.28,22,19,2
20/03/2023,48.24,48.24,300,13/03/2023,7,@23%,0.14,0,0,0,0,0,0,0.049608355,Yes,1,45.96,57,16,12
03/03/2023,,48.12,290,03/03/2023,0,@23%,0.12,0,0,0,0,0,0,-0.012315271,Yes,0,48.72,57,12,4
26/03/2023,,86.4,400.77,26/03/2023,0,@22%,0.24,0,0,3,3,1,97.51,0.299638989,Yes,0,66.48,56,36,4
21/03/2023,,32.52,449,08/03/2023,13,@22%,0.18,0,0,0,0,0,0,0.168103448,Yes,0,27.84,89,9,2
25/03/2023,47.76,47.76,300,30/11/2022,115,@23%,0.13,0,0,0,0,0,0,0.058510638,Yes,1,45.12,34,11,1
31/03/2023,,37.8,380,06/03/2023,25,@22%,0.17,0,0,0,0,0,0,-0.155495979,Yes,0,44.76,57,25,2
15/04/2023,,69.72,1200,30/03/2023,16,@23%,0.14,0,0,0,0,0,0,0.139215686,Yes,0,61.2,0,16,12
12/04/2023,,47.76,353,12/04/2023,0,@22%,0.09,0,0,0,0,0,0,-0.072261072,Yes,0,51.48,57,11,1
05/04/2023,51.6,51.6,369,13/01/2023,82,ASIS FEE,1,0,0,0,0,0,0,0,No,1,51.6,67,16,12
07/04/2023,,53.4,285,31/03/2023,7,@23%,0.25,1,1,1,0,,,0.183510638,Yes,0,45.12,7,8,2
10/04/2023,48.12,48.12,359.99,24/03/2023,17,@23%,0.09,0,0,0,0,0,0,-0.065268065,Yes,1,51.48,62,11,1
15/04/2023,,27.84,289,23/05/2022,327,ASIS FEE,1,0,0,0,0,0,0,0,No,0,27.84,89,9,2
20/03/2023,,69.36,342.5,21/02/2023,27,@23%,0.2,0,0,0,0,0,0,0.090566038,Yes,0,63.6,57,37,4
14/03/2023,,53.4,419,07/03/2023,7,@22%,0.09,0,0,0,0,0,0,0.08801956,Yes,0,49.08,7,16,12
10/04/2023,,48.12,447.24,06/02/2023,63,@23%,0.14,0,0,0,0,0,0,0.066489362,Yes,0,45.12,50,16,12
24/03/2023,,72.24,669,17/03/2023,7,@23%,0.1,0,0,0,0,0,0,0.157692308,Yes,0,62.4,85,37,4
08/03/2023,,82.08,400,08/12/2022,90,@22%,0.23,0,0,0,0,0,0,0.297912713,Yes,0,63.24,107,37,4
10/04/2023,69.72,69.72,500,10/04/2023,0,@23%,0.18,0,0,0,0,0,0,0.010434783,Yes,1,69,62,36,4
09/03/2023,,50.16,200,09/09/2022,181,@22%,0.08,0,0,0,0,0,0,0.298136646,Yes,0,38.64,89,11,1
10/03/2023,,28.32,500,01/08/2022,221,@23%,0.61,1,1,1,0,,,-0.032786885,Yes,0,29.28,89,15,12
20/03/2023,,48.24,179.56,05/01/2023,74,@22%,0.11,0,0,0,0,0,0,0.210843373,Yes,0,39.84,56,25,2
13/03/2023,48.24,48.24,300,13/02/2023,28,@22%,0.15,0,0,0,0,0,0,0.151862464,Yes,1,41.88,62,8,2
15/03/2023,,33.48,230,24/12/2022,81,ASIS FEE,1,0,0,0,0,0,0,0,No,0,33.48,93,29,2
11/03/2023,,53.4,300,15/05/2022,300,@22%,0.25,0,0,0,0,0,0,0.297376093,Yes,0,41.16,129,24,2
03/04/2023,,69.36,370,31/03/2023,3,@22%,0.17,0,0,0,0,0,0,0.090566038,Yes,0,63.6,57,37,4
30/03/2023,62.28,62.28,250,20/02/2022,403,@23%,0.35,0,0,0,0,0,0,0.044265594,Yes,1,59.64,57,37,4
07/03/2023,32.4,32.4,300,15/02/2023,20,@23%,0.16,0,0,0,0,0,0,-0.065743945,Yes,1,34.68,0,15,12
27/03/2023,,53.4,1200,21/01/2023,65,@22%,0.41,1,2,2,0,,,0.297376093,Yes,0,41.16,0,25,2
16/04/2023,,63.72,379,16/04/2023,0,ASIS FEE,1,1,1,1,0,0,0,0,No,0,63.72,7,37,4
03/04/2023,53.4,53.4,453,03/01/2023,90,@22%,0.2,0,0,0,0,0,0,0.096059113,Yes,1,48.72,57,12,4
10/03/2023,,48.12,253.96,20/02/2023,18,@22%,0.07,0,0,0,0,0,0,0.16909621,Yes,0,41.16,7,11,1
05/03/2023,,34.92,309,21/02/2023,12,@22%,0.25,0,0,0,0,0,0,0.006920415,Yes,0,34.68,0,9,2
12/04/2023,,47.76,409,13/03/2023,30,@22%,0.18,0,0,0,0,0,0,-0.019704433,Yes,0,48.72,57,12,4
15/03/2023,32.28,32.28,300,13/03/2023,2,ASIS FEE,1,1,1,3,2,1,89.07,0,No,1,32.28,22,9,2
23/03/2023,,48.24,299,23/03/2023,0,@23%,0.22,0,,,,0,0,-0.191146881,Yes,0,59.64,57,37,4
01/03/2023,69.72,69.72,378.61,15/02/2023,14,@22%,0.08,0,0,0,0,0,0,0.21802935,Yes,1,57.24,74,34,3
02/04/2023,,62.28,269,01/04/2023,1,@23%,0.25,1,1,1,0,,,0.088050314,Yes,0,57.24,74,34,3
04/04/2023,32.28,32.28,300,24/03/2023,11,@23%,0.21,0,0,0,0,0,0,-0.069204152,Yes,1,34.68,34,9,2
03/04/2023,,69.72,259,30/03/2023,4,@22%,0.14,0,0,0,0,0,0,0.169014085,Yes,0,59.64,62,37,4
20/03/2023,,39.48,229,18/03/2023,2,ASIS FEE,1,0,0,0,0,0,0,0,No,0,39.48,30,13,7
03/03/2023,52.68,52.68,200,01/03/2023,2,@23%,0.26,1,1,1,0,,,0.146214099,Yes,1,45.96,57,11,1
15/03/2023,59.64,59.64,296.17,10/03/2023,5,ASIS FEE,1,0,0,0,0,0,0,0,No,1,59.64,62,37,4
31/03/2023,,48.12,499,09/03/2023,22,@23%,0.11,0,0,0,0,0,0,-0.071759259,Yes,0,51.84,129,11,1
28/03/2023,,48.12,999.99,10/03/2023,18,@23%,0.43,1,2,3,1,1,135,0.16909621,Yes,0,41.16,0,25,2
22/03/2023,,35.28,419.99,15/03/2023,7,@22%,0.11,0,0,0,0,0,0,0.017301038,Yes,0,34.68,0,19,2
06/03/2023,,32.28,209.48,02/03/2023,4,@23%,0.23,0,0,0,0,0,0,-0.085034014,Yes,0,35.28,57,9,2
06/03/2023,,48.12,419,04/03/2023,2,@23%,0.26,0,0,0,0,0,0,-0.137634409,Yes,0,55.8,74,37,4
12/04/2023,,53.4,549,17/12/2022,116,@23%,0.25,0,0,1,1,,,0.183510638,Yes,0,45.12,0,11,1
16/03/2023,34.92,34.92,1099,13/03/2023,3,@23%,0.28,0,0,1,1,1,122.32,-0.058252427,Yes,1,37.08,0,25,2
21/03/2023,47.76,47.76,699,21/03/2023,0,@23%,0.44,1,1,2,1,1,85.03,-0.002506266,Yes,1,47.88,57,8,2
06/04/2023,47.28,47.28,239,06/01/2022,455,@22%,0.75,1,2,3,1,2,396.87,0.275080906,Yes,1,37.08,85,35,14
25/03/2023,,47.76,351.74,25/03/2023,0,@22%,0.14,0,0,0,0,0,0,0.067024129,Yes,0,44.76,57,25,2
24/03/2023,,48.12,299,14/03/2023,10,@22%,0.13,0,0,0,0,0,0,0.297734628,Yes,0,37.08,129,19,2
13/03/2023,,48.12,429.99,27/02/2023,14,@22%,0.19,0,0,0,0,0,0,0.075067024,Yes,0,44.76,62,25,2
10/04/2023,,47.76,399,31/03/2023,10,@23%,0.07,0,0,0,0,0,0,0.236024845,Yes,0,38.64,12,24,2
09/03/2023,,47.76,549,14/02/2023,23,@22%,0.13,0,0,0,0,0,0,0.058510638,Yes,0,45.12,0,11,1
02/03/2023,,22.44,339,10/02/2023,20,@23%,0.17,0,0,0,0,0,0,-0.153846154,Yes,0,26.52,0,19,2
11/04/2023,,48.12,300,30/03/2023,12,@23%,0.09,0,0,0,0,0,0,0.066489362,Yes,0,45.12,129,11,1
13/03/2023,,34.68,92,13/03/2023,0,@23%,0.15,0,0,0,0,0,0,-0.017006803,Yes,0,35.28,57,9,2
17/03/2023,,32.52,419.99,17/03/2023,0,@22%,0.15,0,0,0,0,0,0,-0.062283737,Yes,0,34.68,0,19,2
06/04/2023,,47.76,300,18/09/2022,200,@23%,0.1,0,0,0,0,0,0,0.058510638,Yes,0,45.12,67,11,1
14/03/2023,,61.2,500,08/03/2023,6,ASIS FEE,1,0,0,0,0,0,0,0,No,0,61.2,51,37,4
24/04/2023,,69.72,379,05/03/2023,50,@23%,0.22,0,0,0,0,0,0,0.096226415,Yes,0,63.6,57,37,4
24/03/2023,,63.96,519.99,17/03/2023,7,@22%,0.52,1,2,2,0,,,-0.054964539,Yes,0,67.68,57,37,4
10/04/2023,82.56,82.56,370.35,02/04/2023,8,@22%,0.34,1,1,1,0,,,0.298113208,Yes,1,63.6,57,37,4
24/04/2023,,69.72,400,06/04/2023,18,@23%,0.15,0,0,0,0,0,0,0.143700787,Yes,0,60.96,127,37,4
14/03/2023,48.24,48.24,220,14/03/2022,365,@23%,0.24,0,0,0,0,0,0,0.210843373,Yes,1,39.84,12,12,4
08/03/2023,,63.24,200,09/03/2023,-1,@22%,0.49,1,3,5,2,0,0,0.298029557,Yes,0,48.72,57,12,4
13/03/2023,,50.76,350,11/04/2022,336,@23%,0.47,1,2,3,1,2,175.03,0.004750594,Yes,0,50.52,17,16,12
02/04/2023,62.28,62.28,280,24/03/2023,9,@23%,0.17,0,0,0,0,0,0,0.065708419,Yes,1,58.44,17,37,4
28/02/2023,,41.88,300,28/01/2023,31,@22%,0.22,0,0,0,0,0,0,0.29739777,Yes,0,32.28,35,9,2
28/02/2023,,69.72,253,23/02/2023,5,@22%,0.07,0,0,0,0,0,0,0.21802935,Yes,0,57.24,74,34,3
12/04/2023,,34.68,160.32,06/04/2023,6,ASIS FEE,1,0,0,0,0,0,0,0,No,0,34.68,129,9,2
23/03/2023,51.48,51.48,200,25/03/2023,-2,ASIS FEE,1,1,2,4,2,3,255.09,0,No,1,51.48,62,16,12
25/03/2023,53.4,53.4,744,10/03/2023,15,@22%,0.5,1,3,3,0,1,0,0.149870801,Yes,1,46.44,74,16,12
30/03/2023,,69.72,292.54,29/03/2023,1,@22%,0.17,0,0,0,0,0,0,0.169014085,Yes,0,59.64,57,37,4
05/04/2023,,45.6,199,04/04/2023,1,@23%,0.38,1,1,1,0,,,-0.068627451,Yes,0,48.96,108,35,14
28/02/2023,69.72,69.72,700,03/02/2023,25,@23%,0.52,1,3,11,10,2,244.45,-0.010221465,Yes,1,70.44,129,36,4
28/03/2023,,48.12,250,28/12/2021,455,@23%,0.38,0,0,0,0,,,0.16909621,Yes,0,41.16,7,12,4
12/04/2023,,37.8,300,16/02/2023,55,@23%,0.08,0,0,0,0,0,0,0.089965398,Yes,0,34.68,86,32,13
29/03/2023,,34.92,180,29/03/2023,0,@22%,0.09,0,0,0,0,0,0,-0.058252427,Yes,0,37.08,129,25,2
24/03/2023,,32.52,509,17/10/2022,158,@23%,0.25,0,0,0,0,0,0,-0.062283737,Yes,0,34.68,0,9,2
12/04/2023,,48.24,600,12/04/2023,0,@22%,0.14,0,,,,0,0,0.151862464,Yes,0,41.88,57,8,2
04/03/2023,69.72,69.72,379,02/03/2023,2,@23%,0.14,0,0,0,0,0,0,0.096226415,Yes,1,63.6,57,37,4
11/04/2023,,48.96,526,21/03/2023,21,ASIS FEE,1,0,0,0,0,0,0,0,No,0,48.96,107,11,1
01/03/2023,,69.72,300,13/05/2022,292,@22%,0.32,0,0,0,0,0,0,0.19301848,Yes,0,58.44,17,37,4
23/04/2023,,34.92,178,21/04/2023,2,@23%,0.16,0,0,0,0,,,0.006920415,Yes,0,34.68,129,9,2
10/03/2023,,69.72,890,14/02/2023,24,@23%,0.11,0,0,0,0,0,0,0.19301848,Yes,0,58.44,7,8,2
07/03/2023,,69.72,300,23/12/2022,74,@23%,0.23,0,0,0,0,0,0,0.139215686,Yes,0,61.2,129,37,4
08/03/2023,,32.52,459,07/03/2023,1,@22%,0.12,0,0,0,0,0,0,-0.122977346,Yes,0,37.08,85,35,14
03/04/2023,,45.12,208.42,06/01/2023,87,ASIS FEE,1,0,0,0,0,0,0,0,No,0,45.12,77,11,1
13/04/2023,,69.72,441.02,13/04/2023,0,@23%,0.12,0,0,0,0,0,0,-0.010221465,Yes,0,70.44,7,36,4
30/03/2023,,44.28,379,29/03/2023,1,@23%,0.06,0,0,0,0,0,0,-0.018617021,Yes,0,45.12,5,25,2
31/03/2023,,44.04,199.99,31/03/2023,0,@23%,0.07,0,0,0,0,0,0,0.191558442,Yes,0,36.96,16,34,3
16/03/2023,,48.24,409.99,09/03/2023,7,@23%,0.1,0,0,0,0,0,0,0.151862464,Yes,0,41.88,57,8,2
10/03/2023,,47.76,459,02/02/2023,36,@22%,0.33,1,1,1,0,,,0.087431694,Yes,0,43.92,7,16,12
14/03/2023,53.4,53.4,300,12/03/2023,2,@23%,0.25,0,0,0,0,,,0.096059113,Yes,1,48.72,62,12,4
02/03/2023,,69.72,426,19/10/2022,134,@22%,0.45,1,4,5,1,2,353.33,0.21802935,Yes,0,57.24,74,34,3
06/03/2023,,35.52,429,11/02/2023,23,@22%,0.12,0,0,0,0,0,0,0.112781955,Yes,0,31.92,89,19,2
28/03/2023,34.92,34.92,300,27/02/2023,29,@23%,0.25,0,0,0,0,0,0,0.081784387,Yes,1,32.28,19,9,2
04/04/2023,,69.72,479,01/04/2023,3,@23%,0.11,0,0,0,0,0,0,0.139215686,Yes,0,61.2,51,37,4
19/04/2023,,107.04,680,18/04/2023,1,@22%,0.28,1,1,2,1,,,0.298398836,Yes,0,82.44,74,36,4
06/03/2023,48.24,48.24,300,06/03/2023,0,@22%,0.14,0,0,0,0,0,0,0.151862464,Yes,1,41.88,57,8,2
28/02/2023,,105.24,472.45,27/02/2023,1,@22%,0.25,1,1,1,0,0,0,0.299259259,Yes,0,81,7,36,4
26/03/2023,34.92,34.92,300,15/03/2023,11,@22%,0.14,0,0,0,0,0,0,0.123552124,Yes,1,31.08,71,19,2
06/03/2023,,56.16,399.99,06/03/2023,0,ASIS FEE,1,1,1,1,0,1,85.03,0,No,0,56.16,16,8,2
01/03/2023,,69.36,359,27/02/2023,2,@22%,0.14,0,0,0,0,0,0,0.090566038,Yes,0,63.6,57,37,4
22/03/2023,,59.64,280,22/03/2023,0,ASIS FEE,1,0,0,0,0,0,0,0,No,0,59.64,57,37,4
17/03/2023,,86.64,920,17/03/2023,0,ASIS FEE,1,0,0,0,0,0,0,0,No,0,86.64,74,34,3
02/03/2023,,48.12,499,28/02/2023,2,@23%,0.06,0,0,0,0,0,0,0.095628415,Yes,0,43.92,86,32,13
24/04/2023,,29.16,299,22/04/2023,2,@23%,0.11,0,0,0,0,0,0,-0.047058824,Yes,0,30.6,7,15,12
23/04/2023,,45.96,300,22/04/2023,1,ASIS FEE,1,1,1,1,0,1,85.03,0,No,0,45.96,57,16,12
04/04/2023,,32.52,329,30/03/2023,5,@22%,0.18,0,0,0,0,0,0,0.226244344,Yes,0,26.52,129,19,2
02/03/2023,,69.72,1200,20/02/2023,10,@23%,0.08,0,0,0,0,0,0,0.022887324,Yes,0,68.16,99,34,3
14/04/2023,,57.6,275,01/02/2023,72,@22%,0.25,0,0,0,0,,,0.297297297,Yes,0,44.4,16,16,12
11/04/2023,34.44,34.44,300,17/03/2023,25,@22%,0.14,0,0,0,0,0,0,0.298642534,Yes,1,26.52,34,19,2
09/03/2023,48.12,48.12,300,21/02/2023,16,@22%,0.58,1,4,11,7,0,0,0.297734628,Yes,1,37.08,129,19,2
23/04/2023,,45.72,300,08/03/2023,46,@22%,0.25,0,0,0,0,0,0,0.295918367,Yes,0,35.28,57,9,2
02/04/2023,,45.48,350,03/02/2023,58,@23%,0.08,0,0,0,0,0,0,0.226537217,Yes,0,37.08,114,19,2
01/03/2023,112.56,112.56,900,01/01/2023,59,@22%,0.58,1,3,4,1,,,0.299168975,Yes,1,86.64,74,34,3
29/03/2023,,69.72,799,28/03/2023,1,@23%,0.1,0,0,0,0,,,0.249462366,Yes,0,55.8,74,37,4
28/02/2023,,53.4,1008,28/06/2022,245,@22%,0.24,0,0,0,0,0,0,0.297376093,Yes,0,41.16,0,25,2
16/03/2023,,69.72,500,11/03/2023,5,@22%,0.19,0,0,0,0,0,0,0.030141844,Yes,0,67.68,62,37,4
24/03/2023,,69.72,369,15/03/2023,9,@22%,0.17,0,0,0,0,0,0,0.169014085,Yes,0,59.64,57,37,4
24/04/2023,56.16,56.16,390,24/04/2023,0,@23%,0.6,1,4,4,0,1,85.03,0.090909091,Yes,1,51.48,62,16,12
09/03/2023,,37.56,300,02/03/2023,7,@23%,0.13,0,0,0,0,0,0,0.083044983,Yes,0,34.68,0,15,12
04/04/2023,43.44,43.44,200,04/04/2023,0,@23%,0.78,1,4,5,1,2,319.98,-0.136038186,Yes,1,50.28,62,25,2
